 Verbrauch
 Zeit, Wh 
  01/03/2024 00:00 , 168.68 
  02/03/2024 00:00 , 152.15 
  03/03/2024 00:00 , 191 
  04/03/2024 00:00 , 137.32 
  05/03/2024 00:00 , 184.54 
  06/03/2024 00:00 , 162.29 
  07/03/2024 00:00 , 185.1 
  08/03/2024 00:00 , 151.19 
  09/03/2024 00:00 , 118.53 
  10/03/2024 00:00 , 176.06 
  11/03/2024 00:00 , 202.45 
  12/03/2024 00:00 , 224.95 
  13/03/2024 00:00 , 198.3 
  14/03/2024 00:00 , 246.61 
  15/03/2024 00:00 , 202.69 
  16/03/2024 00:00 , 240.53 
  17/03/2024 00:00 , 215.02 
  18/03/2024 00:00 , 244.21 
  19/03/2024 00:00 , 233.68 
  20/03/2024 00:00 , 212.99 
  21/03/2024 00:00 , 247.41 
  22/03/2024 00:00 , 271.14 
  23/03/2024 00:00 , 195.88 
  24/03/2024 00:00 , 1133.14 
  25/03/2024 00:00 , 2514.22 
  26/03/2024 00:00 , 2357.75 
  27/03/2024 00:00 , 1617.77 
  28/03/2024 00:00 , 653.3 
  29/03/2024 00:00 , 1945.27 
  30/03/2024 00:00 , 2309.36 
  31/03/2024 00:00 , 1282.95
