 Verbrauch
 Zeit, Wh
  01/03/2024 00:00 , 0
  02/03/2024 00:00 , 0
  03/03/2024 00:00 , 0
  04/03/2024 00:00 , 0
  05/03/2024 00:00 , 0
  06/03/2024 00:00 , 0
  07/03/2024 00:00 , 0
  08/03/2024 00:00 , 0
  09/03/2024 00:00 , 0
  10/03/2024 00:00 , 0
  11/03/2024 00:00 , 0
  12/03/2024 00:00 , 0
  13/03/2024 00:00 , 0
  14/03/2024 00:00 , 0
  15/03/2024 00:00 , 0
  16/03/2024 00:00 , 0
  17/03/2024 00:00 , 0
  18/03/2024 00:00 , 0
  19/03/2024 00:00 , 0
  20/03/2024 00:00 , 0
  21/03/2024 00:00 , 0
  22/03/2024 00:00 , 0
  23/03/2024 00:00 , 0
  24/03/2024 00:00 , 0
  25/03/2024 00:00 , 0
  26/03/2024 00:00 , 0
  27/03/2024 00:00 , 23.44
  28/03/2024 00:00 , 141.7
  29/03/2024 00:00 , 261.73
  30/03/2024 00:00 , 235.89
  31/03/2024 00:00 , 365.53

