 Verbrauch
 Zeit, Wh 
  01/03/2024 00:00 , 203.64 
  02/03/2024 00:00 , 2238.21 
  03/03/2024 00:00 , 2685.38 
  04/03/2024 00:00 , 2063.86 
  05/03/2024 00:00 , 968.66 
  06/03/2024 00:00 , 773.01 
  07/03/2024 00:00 , 330.99 
  08/03/2024 00:00 , 2856.12 
  09/03/2024 00:00 , 3803.03 
  10/03/2024 00:00 , 1244.2 
  11/03/2024 00:00 , 978.42 
  12/03/2024 00:00 , 324.56 
  13/03/2024 00:00 , 213.68 
  14/03/2024 00:00 , 2616.53 
  15/03/2024 00:00 , 2100.51 
  16/03/2024 00:00 , 1442.34 
  17/03/2024 00:00 , 3097.56 
  18/03/2024 00:00 , 1478.32 
  19/03/2024 00:00 , 1946.96 
  20/03/2024 00:00 , 3338.75 
  21/03/2024 00:00 , 2138.04 
  22/03/2024 00:00 , 2796.26 
  23/03/2024 00:00 , 1649.98 
  24/03/2024 00:00 , 1608.02 
  25/03/2024 00:00 , 1547.33 
  26/03/2024 00:00 , 2396.78 
  27/03/2024 00:00 , 2729.78 
  28/03/2024 00:00 , 1269.75 
  29/03/2024 00:00 , 1521.22 
  30/03/2024 00:00 , 2099.16 
  31/03/2024 00:00 , 2355.16
